Date,Close/Last,Volume,Open,High,Low
01/21/2020,83.48,13004980,84.03,84.27,83.1101
01/17/2020,84.41,7013382,84.46,84.805,84.30
01/16/2020,84.40,9493262,84.00,84.44,83.93
01/15/2020,83.57,12014520,83.45,83.92,83.38
01/14/2020,83.44,9649517,83.48,83.98,83.33
01/13/2020,83.43,7893866,83.01,83.52,82.85
01/10/2020,82.75,8857680,83.51,83.51,82.61
01/09/2020,83.34,7407283,83.34,83.43,83.08
01/08/2020,82.99,10677740,82.77,83.36,82.625
01/07/2020,82.71,16689120,82.57,83.02,82.29
01/06/2020,82.88,16153210,82.46,82.89,82.2731
01/03/2020,82.85,17571310,82.06,82.95,81.99
01/02/2020,83.01,16058040,82.05,83.01,81.83
12/31/2019,81.47,6458168,81.32,81.69,81.175
12/30/2019,81.52,7716351,81.99,81.99,81.355
12/27/2019,81.90,5300722,82.23,82.23,81.79
12/26/2019,81.97,3914175,81.96,81.98,81.585
12/24/2019,81.78,4451649,82.09,82.1999,81.6901
12/23/2019,82.11,5675994,81.93,82.20,81.79
12/20/2019,81.44,8913222,81.34,81.63,81.16
12/19/2019,81.47,5743972,81.26,81.56,81.17
12/18/2019,81.25,6679406,81.60,81.62,81.10
12/17/2019,81.59,5949606,81.68,81.86,81.54
12/16/2019,81.67,8046880,81.99,82.12,81.66
12/13/2019,81.71,11754860,81.89,82.535,81.445
12/12/2019,81.93,15561890,81.25,82.19,81.04
12/11/2019,81.21,9070298,80.78,81.28,80.58
12/10/2019,80.70,9046866,80.79,81.03,80.56
12/09/2019,80.80,7266513,80.88,81.0995,80.76
12/06/2019,81.11,8966740,80.89,81.26,80.86
12/05/2019,80.14,18539370,80.27,80.33,79.79
12/04/2019,80.12,16090300,80.23,80.90,80.04
12/03/2019,79.81,20416280,79.84,79.88,79.26
12/02/2019,80.69,18275950,82.03,82.15,80.65
11/29/2019,82.04,5645448,82.32,82.32,81.90
11/27/2019,82.42,9186238,82.44,82.45,82.10
11/26/2019,82.50,6069444,82.34,82.65,82.18
11/25/2019,82.26,9190238,81.97,82.42,81.76
11/22/2019,81.67,5205115,81.45,81.6917,81.195
11/21/2019,81.25,6094774,81.29,81.51,81.00
11/20/2019,81.28,14726650,81.67,81.86,80.96
11/19/2019,81.93,9192815,82.26,82.33,81.745
11/18/2019,82.00,5119374,82.16,82.16,81.83
11/15/2019,82.31,6150737,82.17,82.48,82.10
11/14/2019,81.71,7355029,81.29,81.88,81.28
11/13/2019,81.45,9892093,81.46,81.75,81.20
11/12/2019,81.79,8293520,81.93,82.17,81.62
11/11/2019,81.80,5801492,81.26,81.925,81.13
11/08/2019,81.76,6323390,81.48,81.76,81.23
11/07/2019,81.65,10296960,81.80,82.18,81.515
